Salary_ID,EMP_ID,Salary_Date,Branch ID,Amount
18001,17001,2022-06-10,241,35000
18002,17002,2022-06-12,241,14000
18003,17003,2022-06-15,241,28000
18004,17004,2022-06-20,242,18000
18005,17005,2022-06-23,241,30000
18006,17006,2022-07-06,241,23000
18007,17007,2022-07-07,243,28000
18008,17008,2022-07-08,242,18000
18009,17009,2022-07-09,241,30000
18010,17010,2022-07-10,243,23000
18011,17011,2022-07-11,243,35000
18012,17012,2022-07-12,241,14000
18013,17013,2022-07-13,242,28000
18014,17014,2022-07-14,242,18000
18015,17015,2022-07-15,244,30000
18016,17016,2022-07-16,241,14000
18017,17017,2022-07-17,243,14000
18018,17018,2022-07-18,243,14000
18019,17019,2022-07-19,243,14000
18020,17020,2022-07-20,243,14000
18021,17021,2022-07-21,244,14000
18022,17022,2022-07-22,244,14000
18023,17023,2022-07-23,244,14000
18024,17024,2022-07-24,243,30000
18025,17025,2022-07-25,242,23000
18026,17026,2022-07-26,242,35000
18027,17027,2022-07-27,244,28000
18028,17028,2022-07-28,242,18000
18029,17029,2022-07-29,243,30000
18030,17030,2022-07-30,244,23000
18031,17031,2022-07-31,243,30000
18032,17032,2022-08-01,244,23000
18033,17033,2022-08-02,244,35000
